CODEREG,NOM_REGION,CODEDIST,NOM_DISTRI,CODECOM,NOM_COMMUN,ETAT_COMMU,SOURCE,HECTARES,MIS_A_JOUR
"64",MENABE,"6404",MIANDRIVAZO,"640404",Ankondromena,,,147380.175,"2000"
"64",MENABE,"6404",MIANDRIVAZO,"640415",Soaloka,,terrain,160357.089,"2003"
"64",MENABE,"6404",MIANDRIVAZO,"640408",Betsipolitra,,commune,77416.901,"2005"
"64",MENABE,"6404",MIANDRIVAZO,"640403",Ankavandra,,commune,123489.174,"2004"
"64",MENABE,"6404",MIANDRIVAZO,"640411",Itondy,,,117618.611,"2000"
"64",MENABE,"6404",MIANDRIVAZO,"640413",Manandaza,,,200745.596,"2000"
"64",MENABE,"6401",BELO-SUR-TSIRIBIHINA,"640102",Amboalimena,,,68477.112,"2000"
"64",MENABE,"6401",BELO-SUR-TSIRIBIHINA,"640103",Andimaky Manambolo,,commune,91908.120,"2005"
"64",MENABE,"6401",BELO-SUR-TSIRIBIHINA,"640101",Ambiky,,,70773.692,"2000"
"64",MENABE,"6401",BELO-SUR-TSIRIBIHINA,"640104",Ankalalobe,,,138540.429,"2000"
"64",MENABE,"6404",MIANDRIVAZO,"640414",Miandrivazo,,terrain,56269.293,"2003"
"64",MENABE,"6404",MIANDRIVAZO,"640407",Bemahatazana,,terrain,44021.865,"2003"
"64",MENABE,"6404",MIANDRIVAZO,"640402",Ampanihy,,,5643.917,"2000"
"64",MENABE,"6404",MIANDRIVAZO,"640409",Dabolava,,commune,93369.198,"2005"
"64",MENABE,"6401",BELO-SUR-TSIRIBIHINA,"640112",Masoarivo_Serinam,,terrain,68396.512,"2001"
"64",MENABE,"6401",BELO-SUR-TSIRIBIHINA,"640108",Belo Sur Tsiribihina,,terrain,39485.070,"2001"
"64",MENABE,"6401",BELO-SUR-TSIRIBIHINA,"640109",Bemarivo Ankilirondro,,,17432.368,"2000"
"64",MENABE,"6404",MIANDRIVAZO,"640406",Anosimena,,,7188.158,"2000"
"64",MENABE,"6401",BELO-SUR-TSIRIBIHINA,"640108",Belo Sur Tsiribihina,,terrain,161.515,"2001"
