CODREGION,NOM_REGION,CODDIST,NOM_DISTRI,CODCOM,NOM_COMMUN
"21",DIANA,"2104",ANTSIRANANA II,"210404",Andranovondronina
"21",DIANA,"2104",ANTSIRANANA II,"210404",Andranovondronina
"21",DIANA,"2104",ANTSIRANANA II,"210404",Andranovondronina
"21",DIANA,"2104",ANTSIRANANA II,"210404",Andranovondronina
"21",DIANA,"2104",ANTSIRANANA II,"210404",Andranovondronina
"21",DIANA,"2104",ANTSIRANANA II,"210404",Andranovondronina
"21",DIANA,"2104",ANTSIRANANA II,"210404",Andranovondronina
"21",DIANA,"2104",ANTSIRANANA II,"210404",Andranovondronina
"21",DIANA,"2104",ANTSIRANANA II,"210404",Andranovondronina
"21",DIANA,"2104",ANTSIRANANA II,"210404",Andranovondronina
"21",DIANA,"2104",ANTSIRANANA II,"210404",Andranovondronina
"21",DIANA,"2104",ANTSIRANANA II,"210404",Andranovondronina
"21",DIANA,"2104",ANTSIRANANA II,"210404",Andranovondronina
"21",DIANA,"2104",ANTSIRANANA II,"210417",Mangoaka
"21",DIANA,"2104",ANTSIRANANA II,"210417",Mangoaka
"21",DIANA,"2103",ANTSIRANANA I,"210301",Antsiranana I
"21",DIANA,"2104",ANTSIRANANA II,"210419",Ramena
"21",DIANA,"2103",ANTSIRANANA I,"210301",Antsiranana I
"21",DIANA,"2104",ANTSIRANANA II,"210417",Mangoaka
"21",DIANA,"2104",ANTSIRANANA II,"210409",Antsahampano
"21",DIANA,"2104",ANTSIRANANA II,"210417",Mangoaka
"21",DIANA,"2104",ANTSIRANANA II,"210419",Ramena
"21",DIANA,"2104",ANTSIRANANA II,"210417",Mangoaka
"21",DIANA,"2104",ANTSIRANANA II,"210417",Mangoaka
"21",DIANA,"2104",ANTSIRANANA II,"210417",Mangoaka
"21",DIANA,"2104",ANTSIRANANA II,"210417",Mangoaka
"21",DIANA,"2104",ANTSIRANANA II,"210417",Mangoaka
"21",DIANA,"2103",ANTSIRANANA I,"210301",Antsiranana I
"21",DIANA,"2104",ANTSIRANANA II,"210419",Ramena
"21",DIANA,"2104",ANTSIRANANA II,"210408",Antanamitarana Sud
"21",DIANA,"2104",ANTSIRANANA II,"210403",Andranofanjava
"21",DIANA,"2104",ANTSIRANANA II,"210416",Mahavanona
"21",DIANA,"2104",ANTSIRANANA II,"210416",Mahavanona
"21",DIANA,"2104",ANTSIRANANA II,"210415",Mahalina
